Sentence,Span
"Next plague outbreak in Madagascar could be 'stronger': WHO
",
"Geneva - The World Health Organisation chief on Wednesday said a deadly plague epidemic appeared to have been brought under control in Madagascar, but warned the next outbreak would likely be stronger.
",appeared
"""The next transmission could be more pronounced or stronger,"" WHO Director-General Tedros Adhanom Ghebreyesus told reporters in Geneva, insisting that ""the issue is serious.""
",The next transmission could be more pronounced or stronger
"An outbreak of both bubonic plague, which is spread by infected rats via flea bites, and pneumonic plague, spread person to person, has killed more than 200 people in the Indian Ocean island nation since August.
",
"Madagascar has suffered bubonic plague outbreaks almost every year since 1980, often caused by rats fleeing forest fires.
",
"The disease tends to make a comeback each hot rainy season, from September to April.
",
"On average, between 300 and 600 infections are recorded every year among a population approaching 25 million people, according to a UN estimate.
",
"But Tedros voiced alarm that ""plague in Madagascar behaved in a very, very different way this year.""
","a very, very different"
"Cases sprang up far earlier than usual and, instead of being confined to the countryside, the disease infiltrated towns.
",
"The authorities recorded more than 2 000 cases, and Tedros said Wednesday the death toll stood at 207.
",
"He also pointed to the presence of the pneumonic version, which spreads more easily and is more virulent, in the latest outbreak.
","He also pointed to the presence of the pneumonic version, which spreads more easily and is more virulent, in the latest outbreak"
"He praised the rapid response from WHO and Madagascar authorities that helped bring the outbreak under control, but warned that the danger was not over.
",but warned that the danger was not over
"The larger-than-usual outbreak had helped spread the bacteria that causes the plague more widely.
",
"This along with poor sanitation and vector control on Madagascar meant that ""when (the plague) comes again it starts from more stock, and the magnitude in the next transmission could be higher than the one that we saw,"" Tedros said.
","when (the plague) comes again it starts from more stock, and the magnitude in the next transmission could be higher than the one that we saw"
"""That means that Madagascar could be affected more, and not only that, it could even spill over into neighbouring countries and beyond,"" he warned.
",it could even spill over into neighbouring countries and beyond
"Complicating vector control is the fact that the fleas that carry the Yersinia pestis bacteria that causes the plague have proven to be widely resistant to chemicals and insecticides.
",
"""That's a dangerous combination,"" Tedros said.
",
"US bloggers banned from entering UK
",
"Two prominent US bloggers have been banned from entering the UK, the Home Office has said.
",
"Pamela Geller and Robert Spencer co-founded anti-Muslim group Stop Islamization of America.
",
"They were due to speak at an English Defence League march in Woolwich, where Drummer Lee Rigby was killed.
",
"A government spokesman said individuals whose presence ""is not conducive to the public good"" could be excluded by the home secretary.
",
"He added: ""We condemn all those whose behaviours and views run counter to our shared values and will not stand for extremism in any form.""
",We condemn all those whose behaviours and views run counter to our shared values
"'Right decision'
",
"Ms Geller, of the Atlas Shrugs blog, and Mr Spencer, of Jihad Watch, are also co-founders of the American Freedom Defense Initiative, best known for a pro-Israel ""Defeat Jihad"" poster campaign on the New York subway.
","Defeat Jihad"""
"On both of their blogs the pair called their bans from entering the UK ""a striking blow against freedom"" and said the ""the nation that gave the world the Magna Carta is dead"".
",a striking blow against freedom
"They were due to attend a march planned by the far-right EDL to mark Armed Forces Day on 29 June, ending in Woolwich, south east London, where soldier Drummer Rigby was murdered last month.
",
"Keith Vaz, chairman of the Home Affairs Select Committee, who had called for the bloggers to be banned from the UK, said: ""I welcome the home secretary's ban on Pamela Geller and Robert Spencer from entering the country.
",
"This is the right decision.
",
"The UK should never become a stage for inflammatory speakers who promote hate.""
",
"EDL leader Tommy Robinson, meanwhile, criticised the decision and said Ms Geller and Mr Spencer were coming to the UK to lay flowers at the place where Drummer Rigby died.
",
"""It's embarrassing for this so-called land of democracy and freedom of speech,"" he said.
",so-called land of democracy and freedom of speech
"""How many hate preachers are living in this country?
",hate preachers
"It just shows what sort of a two-tier system we have here.""
",
"'Foster hatred'
",
"Anti-fascism campaigners Hope Not Hate had campaigned for the pair to not be allowed into the UK.
",
"A researcher with the organisation, Matthew Collins, said it was ""delighted"" with the decision.
",
"""These two are among some of the most extreme anti-Muslim activists in the world.
",
"They've nothing to contribute to life in this country.
",
"""They're not here to contribute to good community relations.
",
"They only wanted to come here and help the EDL stir up more trouble.
",
"Britain doesn't need more hate even just for a few days.""
",
"Mr Spencer put up a copy of what appears to be the exclusion decision from the Home Office on the Jihad Watch website, while Ms Geller posted a copy of her letter on her website, Atlas Shrugs.
",
"The letters, both dated Tuesday, claim that both activists have fallen within the scope of a list of unacceptable behaviours by making statements which may ""foster hatred"" and lead to ""inter-community violence"" in the UK.
",
"Both letters gave examples of anti-Muslim views stated by both and went on to say that should they be allowed to enter the UK the home secretary believes they would ""continue to espouse such views"".
",
"Kate Steinle's death at the hands of a Mexican national became a flashpoint in the immigration debate â€” here's the story behind her killing
",
"The surprise acquittal of Jose Ines Garcia Zarate in the shooting death of San Francisco woman Kate Steinle set off a firestorm of outrage Thursday night, as top conservatives and critics of so-called ""sanctuary cities"" pinned blame for Steinle's death on illegal immigration and insufficiently aggressive deportation policies.
",firestorm of outrage 
"Garcia Zarate, a 45-year-old Mexican national who was homeless and living in the US illegally when he fired the shot that killed Steinle, was acquitted by a jury on murder and manslaughter charges.
",
"The jury convicted him of the lesser charge of being a felon in possession of a gun, which carries a maximum sentence of three years in state prison.
",
"Steinle, 32, was fatally shot while she walked along Pier 14 of the San Francisco Bay with her father in July 2015.
",
